N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018
ZAPETTI_BUITONI | LEGUMES | TOMATE_CUI | DOY_PAC | NON_BIO,1,1.0,0,84228.40000000001,54094.7
SACLA | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,3,3.0,0,83438.5,128115.0
LUCIEN_GEORGELIN | BIO | AIL_OIGNON | POT | BIO,1,1.0,0,82827.0,10921.600000000002
AUT_MQ | BIO | BASILIC | POT | BIO,12,9.0,3,82029.5,31401.799999999996
AUT_MQ | SCE_CLAS | PESTO_JAUNE | POT | NON_BIO,1,1.0,0,78994.1,86109.79999999999
LUCIEN_GEORGELIN | BIO | PIMENT_D'ESPELETTE | POT | BIO,1,1.0,0,77120.0,10269.500000000002
ZAPETTI_BUITONI | BIO | BOLOGNAISE | BTE_FER | BIO,1,1.0,0,76418.70000000001,0.0
UNC_BENS | SCE_CLAS | TIKKA_MASALA | POT | BIO,1,1.0,0,75934.8,0.0
VICTORIA | PESTO | PESTO_VERD | POT | NON_BIO,1,1.0,0,75480.8,45653.80000000001
AUT_MQ | SCE_CLAS | BEURRE_CITRON_A_LA_CREME_FRAIC | DOY_PAC | NON_BIO,1,1.0,0,75244.40000000001,42432.8
PANZANI | LEGUMES | BASILIC | POT | NON_BIO,4,3.0,1,74540.40000000001,32316.5
SACLA | BIO | BOLOGNAISE | POT | BIO,1,1.0,0,74319.3,161168.0
ZAPETTI_BUITONI | BIO | NATURE | BTE_FER | BIO,1,1.0,0,74070.09999999999,0.0
DE_CECCO | LEGUMES | NAPOLITAIN | POT | NON_BIO,2,2.0,0,73853.59999999999,82539.9
AUT_MQ | CREME | FROMAGE | POT | NON_BIO,3,3.0,0,72554.6,78010.20000000001
SACLA | PESTO | PESTO_ROSSO_&_GINGEMBRE_CONFIT | POT | BIO,1,1.0,0,72157.5,38892.7
FLORELLI | LEGUMES | TOM_CERISE | POT | NON_BIO,1,1.0,0,72115.5,75162.29999999999
BJORG | BIO | BOLOGNESE_VEGETALE | POT | BIO,1,1.0,0,71510.4,132910.4
SUZY_WAN | SCE_CLAS | POULET_COCO_CURRY | POT | NON_BIO,1,1.0,0,71435.40000000001,92458.2
FLORELLI | LEGUMES | TOM_SECHE | POT | NON_BIO,2,2.0,0,70022.5,111621.80000000002
AUT_MQ | LEGUMES | TOMATE_CUI | POT | NON_BIO,5,3.0,2,69987.40000000001,83411.09999999999
SACLA | LEGUMES | AUBER_OLIV_NR_CAJOU | POT | NON_BIO,1,1.0,0,69916.1,89817.0
MDD | AUT_SCE |  | DOY_PAC | ,1,0.0,1,68839.2,150078.19999999998
ITALIANS_DO_IT_BETTER | LEGUMES | OLIVE | POT | NON_BIO,1,1.0,0,68812.9,0.0
ITALIANS_DO_IT_BETTER | LEGUMES | OLIVES_DE_TAGGIASCHE | POT | NON_BIO,1,1.0,0,68075.3,91722.1
AUT_MQ | SCE_CLAS | BEURRE_BLANC_RICHE_EN_ECHALOTE | DOY_PAC | NON_BIO,1,1.0,0,67903.7,86137.29999999999
DE_CECCO | LEGUMES | SICILIEN | POT | NON_BIO,2,2.0,0,67811.69999999997,78691.0
ZAPETTI_BUITONI | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,10,4.0,6,67163.50000000001,398939.4000000001
FLORELLI | LEGUMES | CEPE | POT | NON_BIO,1,1.0,0,65324.8,66001.5
AUT_MQ | BIO | PESTO_VERD | POT | BIO,6,6.0,0,65292.3,66191.09999999999
AUT_MQ | SCE_CLAS | CURRY_INDIENNE_BUTTER_CHICKEN | POT | NON_BIO,2,2.0,0,65264.00000000001,0.0
FLORELLI | PESTO | PESTO_ROQUETTE_&_NOIX | POT | NON_BIO,1,1.0,0,64759.20000000001,68873.79999999999
MQ_FAB_1_PRX | LEGUMES | PT_LEGUME | TUB | NON_BIO,1,1.0,0,64751.8,67356.1
HEINZ | PESTO | PESTO_RGE | POT | NON_BIO,3,2.0,1,63868.8,254944.3
AUT_MQ | SCE_CLAS | OSEILLE_A_LA_CREME_FRAICHE_AU | DOY_PAC | NON_BIO,1,1.0,0,62583.3,70158.9
FLORELLI | LEGUMES | MASCARPONE | POT | NON_BIO,2,2.0,0,62246.4,85787.50000000001
AUT_MQ | LEGUMES | POIVRON | POT | NON_BIO,8,3.0,5,60911.899999999994,63240.0
FLORELLI | LEGUMES | BASILIC | POT | NON_BIO,2,2.0,0,60171.59999999999,86127.7
AUT_MQ | LEGUMES | LEG_GRILLE | POT | NON_BIO,3,3.0,0,60049.69999999998,62948.6
PANZANI | LEGUMES | NAPOLITAIN | POT | NON_BIO,1,1.0,0,59896.0,299662.7
MQ_FAB_1_PRX | LEGUMES | NATURE | BTE_FER | NON_BIO,1,1.0,0,59301.00000000001,64071.4
AUT_MQ | SCE_CLAS | BARBECUE_TERIYAKI_AU_MIEL | POT | NON_BIO,1,1.0,0,57065.9,63614.3
AUT_MQ | SCE_CLAS | NANTUA_AUX_ECREVISSES | POT | NON_BIO,1,1.0,0,55929.49999999999,56627.50000000001
ITALIANS_DO_IT_BETTER | LEGUMES | TOM_PIMENT | POT | NON_BIO,1,1.0,0,55605.60000000001,0.0
DE_CECCO | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,2,2.0,0,54191.79999999999,57688.2
AUT_MQ | SCE_CLAS | BEURRE_BLANC_&_CITRON_CONFIT | DOSE | NON_BIO,1,1.0,0,52713.1,34313.7
JARDIN_BIO | BIO | DUO_D'OLIVES_VERTES_&_NOIRES | POT | BIO,1,1.0,0,51889.60000000001,0.0
ITALIANS_DO_IT_BETTER | SCE_CLAS | PESTO_AL_LIMONE_BASILIC_&_ZEST | POT | NON_BIO,1,1.0,0,51412.60000000001,0.0
AUT_MQ | PESTO | BASILIC | POT | NON_BIO,1,1.0,0,51174.4,50552.5
JARDIN_BIO | SCE_CLAS | CURRY_AU_LAIT_DE_COCO | POT | BIO,1,1.0,0,50206.5,0.0
AUT_MQ | SCE_CLAS | AJVAR_CLASSIQUE | POT | NON_BIO,1,1.0,0,50072.6,39597.0
AUT_MQ | PESTO | PESTO_A_LA_TRUFFE | POT | NON_BIO,1,1.0,0,49945.4,32190.200000000008
FLORELLI | LEGUMES | OLIVE | POT | NON_BIO,1,1.0,0,48260.2,42923.2
SACLA | LEGUMES | TOMATES_CERISES_EN_RONDELLES_O | POT | NON_BIO,1,1.0,0,47135.8,76011.4
AUT_MQ | LEGUMES | BASILIC | BTE_FER | NON_BIO,1,1.0,0,46984.49999999999,44766.8
AUT_MQ | LEGUMES | NAPOLITAIN | POT | NON_BIO,12,9.0,3,45811.5,48215.3
SACLA | PESTO | PESTO_ENFER | POT | NON_BIO,1,1.0,0,44812.5,65839.5
AUT_MQ | PESTO | PESTO_GENOVESE_BASIL | POT | NON_BIO,1,1.0,0,44391.5,40515.2
AUT_MQ | PESTO | PESTO_AU_BASILIC_DE_GENES_AOP | POT | NON_BIO,1,1.0,0,44118.5,47046.9
SACLA | PESTO | PESTO_ROSSO_TOFU_&_BAIES_DE_GO | POT | BIO,1,1.0,0,43570.4,22762.9
AUT_MQ | CREME | FROM_POIVR | POT | NON_BIO,1,1.0,0,43188.3,42783.8
AUT_MQ | PESTO | PESTO_OLIV | POT | NON_BIO,2,2.0,0,43162.9,39593.600000000006
AUT_MQ | BIO | PESTO_RGE | POT | BIO,3,3.0,0,42454.2,34379.700000000004
SACLA | LEGUMES | SALSICCIA | POT | NON_BIO,1,1.0,0,42334.500000000015,50254.20000000001
AUT_MQ | LEGUMES | H_OLIVE | BTE_FER | NON_BIO,1,1.0,0,42212.7,42687.3
SACLA | BIO | CEPE | POT | BIO,1,1.0,0,42096.0,62702.30000000001
AUT_MQ | BIO | TOM_CERISE | POT | BIO,1,1.0,0,41768.8,40238.9
SACLA | BIO | PESTO_ROSSO_TOFU | POT | BIO,1,1.0,0,41261.7,53031.8
AUT_MQ | BIO | BASIL_H_OLIVE | POT | BIO,1,1.0,0,39977.4,37542.9
AUT_MQ | SCE_CLAS | ARTICHAUTS_&_TOMATES_&_MASCARP | POT | NON_BIO,1,1.0,0,39487.4,53753.2
SACLA | LEGUMES | TOMATES_CERISES_EN_RONDELLES_R | POT | NON_BIO,1,1.0,0,39381.500000000015,40247.5
FLORELLI | LEGUMES | GORGONZOLA_&_OIGNON | POT | NON_BIO,1,1.0,0,39358.2,33989.5
AUT_MQ | SCE_CLAS | AIL_DES_OURS_&_BASILIC | POT | NON_BIO,1,1.0,0,38951.2,58260.2
POLLI | BIO | GENOVESE_BIO | POT | BIO,1,1.0,0,38660.3,0.0
SACLA | BIO | POIVRON | POT | BIO,1,1.0,0,38343.60000000001,42577.500000000015
ITALIANS_DO_IT_BETTER | AUTRE_GAMME | RAGU_DE_VIANDE | POT | NON_BIO,1,0.0,1,38108.500000000015,0.0
AUT_MQ | PESTO | GENOVESE | POT | NON_BIO,3,3.0,0,37467.200000000004,30196.5
SUZY_WAN | SCE_CLAS | POULET_AIGRE_DOUCE | POT | NON_BIO,1,1.0,0,37385.1,40021.19999999998
AUT_MQ | LEGUMES | SICILIEN | POT | NON_BIO,4,3.0,1,36874.000000000015,45732.5
MQ_FAB_1_PRX | PESTO | PESTO_RGE | POT | NON_BIO,1,1.0,0,36164.6,37943.8
AUT_MQ | SCE_CLAS | PESTO_AU_BASILICO_GENOVESE_DOP | POT | BIO,1,1.0,0,35418.9,24464.7
AUT_MQ | LEGUMES | AUBER_POIV | POT | NON_BIO,1,1.0,0,35196.19999999998,34403.8
FLORELLI | LEGUMES | AUBER_BASI | POT | NON_BIO,1,1.0,0,35039.700000000004,53087.2
RIVOIRE_&_CARRET | BOLO_CLASSIQUE | BOLOGNAISE_PUR_BOEUF | POT | NON_BIO,1,1.0,0,33348.499999999985,82106.6
SACLA | LEGUMES | ECHA_CHIANTI | POT | NON_BIO,1,1.0,0,33342.2,45931.8
AUT_MQ | LEGUMES | MEDITERRAN | POT | NON_BIO,1,1.0,0,33267.9,45552.3
AUT_MQ | LEGUMES | TOMATES_BASILIC_GENOVESE | POT | NON_BIO,3,3.0,0,32004.3,43435.100000000006
PANZANI | QUALITE_FRAICHEMENT_CUISINEE | TOM_RICOTT | POT | NON_BIO,1,1.0,0,31866.4,0.0
AUT_MQ | LEGUMES | NATURE | FLA_PLAS | NON_BIO,1,1.0,0,31721.0,14567.100000000002
AUT_MQ | BOLO_CLASSIQUE | BOLOGNAISE_PUR_BOEUF | POT | NON_BIO,1,1.0,0,31098.500000000004,24982.9
CIRIO | BOLO_CLASSIQUE | RAGU_BOLOGNESE | POT | NON_BIO,1,1.0,0,31010.6,53721.6
AUT_MQ | SCE_CLAS | CITRON_VERT_CORIANDRE_AU_SEL_D | DOY_PAC | BIO,1,1.0,0,30888.200000000004,48078.80000000001
RIVOIRE_&_CARRET | BOLO_ORIGINALE | BOLOGNAISE_LEGUMES | POT | NON_BIO,1,1.0,0,29364.0,42816.0
AUT_MQ | BIO | ASPERGES_&_PARMESAN | POT | BIO,1,1.0,0,28035.0,24062.4
AUT_MQ | LEGUMES | LEGUME | POT | NON_BIO,3,3.0,0,27907.1,15989.400000000001
RIVOIRE_&_CARRET | PESTO | PESTO_VERT | POT | NON_BIO,1,1.0,0,27890.4,56254.49999999999
AUT_MQ | BIO | PROVENCALE | POT | BIO,4,4.0,0,27869.399999999998,25031.100000000006
AUT_MQ | AUTRE_GAMME | TRADITION | POT | NON_BIO,1,1.0,0,27586.5,0.0
AUT_MQ | BIO | ROUGAIL_MARMITE | POT | BIO,1,1.0,0,27551.6,8787.0
POLLI | BIO | PESTO_RGE | POT | BIO,1,1.0,0,27409.4,0.0
AUT_MQ | LEGUMES | PROVENCALE | POT | NON_BIO,10,5.0,5,27291.5,42668.899999999994
AUT_MQ | PESTO | PESTO_TOM_SECHE | POT | NON_BIO,1,1.0,0,27144.500000000004,32913.6
AUT_MQ | SCE_CLAS | CEPE | DOSE | NON_BIO,1,1.0,0,26907.0,0.0
CIRIO | LEGUMES | ARRABIATA | POT | NON_BIO,1,1.0,0,26741.80000000001,36673.0
AUT_MQ | SCE_CLAS | PESTO_AU_BASILIC_A_LA_TRUFFE_B | POT | NON_BIO,1,1.0,0,26571.2,18562.4
AUT_MQ | SCE_CLAS | ARMORICAINE | POT | NON_BIO,2,2.0,0,26292.600000000002,33560.09999999999
CIRIO | LEGUMES | BASILIC | POT | NON_BIO,1,1.0,0,26285.7,34366.0
HEINZ | BOLO_ORIGINALE | BOLOG_CHAMP | POT | NON_BIO,1,1.0,0,26026.6,8593.300000000001
AUT_MQ | SCE_CLAS | AJVAR_EPICE | POT | NON_BIO,1,1.0,0,25944.0,29446.0
JARDIN_BIO | BIO | CEPES | POT | BIO,1,1.0,0,25358.7,33848.2
AUT_MQ | LEGUMES | PEPERONI | POT | NON_BIO,1,1.0,0,25177.6,0.0
SACLA | PESTO | PESTO_DES_ANGES | POT | NON_BIO,1,1.0,0,25094.5,43491.49999999999
ZAPETTI_BUITONI | LEGUMES | RATATOUILLE | BTE_FER | NON_BIO,2,2.0,0,24632.6,36643.5
AUT_MQ | LEGUMES | POIV_AUBER | POT | NON_BIO,1,1.0,0,24526.6,41620.4
CIRIO | LEGUMES | LEGUME | POT | NON_BIO,1,1.0,0,24227.7,40141.9
AUT_MQ | LEGUMES | TOM_POIVR | POT | NON_BIO,1,1.0,0,24107.1,27868.4
SACLA | BOLO_VEGETARIENNE | BOLOGNAISE_VEGETARIENNE_SOJA | POT | BIO,1,1.0,0,23902.0,23190.4
MUTTI | LEGUMES | PARMIGIANO_REGGIANO | POT | NON_BIO,2,2.0,0,23773.6,25300.0
AUT_MQ | LEGUMES | CHAMPIGNON | POT | NON_BIO,8,7.0,1,23157.500000000004,27265.8
CIRIO | LEGUMES | PARMESAN | POT | NON_BIO,1,1.0,0,22717.4,45871.0
JARDIN_BIO | BIO | LEGUME | TUB | BIO,1,1.0,0,22679.7,251973.70000000004
FLORELLI | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,1,1.0,0,22334.9,38274.8
AUT_MQ | LEGUMES | TOM_CERISE | POT | NON_BIO,1,1.0,0,22004.9,21377.8
ITALIANS_DO_IT_BETTER | BIO | GENOVESE_BIO | POT | BIO,1,1.0,0,22003.2,0.0
LOUIS_MARTIN | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,3,2.0,1,21994.8,20891.300000000003
AUT_MQ | SCE_CLAS | PIRI_PIRI_A_L'AIL | POT | NON_BIO,1,1.0,0,21977.8,20040.9
AUT_MQ | BIO | 6LEGUMES | POT | BIO,1,1.0,0,21292.4,16063.7
CIRIO | LEGUMES | NAPOLITAIN | POT | NON_BIO,1,1.0,0,21009.3,26221.599999999995
AUT_MQ | AUT_VIANDE | RIESLING_BOEUF_&_LARDONS | POT | NON_BIO,1,1.0,0,20622.1,37939.6
SACLA | BIO | LEGUME | POT | BIO,1,1.0,0,20335.9,27928.5
RIVOIRE_&_CARRET | LEGUMES | TOMATES_BASILIC | POT | NON_BIO,1,1.0,0,20263.5,26138.1
JARDIN_BIO | BIO | OLIV_CAPRE | POT | BIO,1,1.0,0,19996.4,27463.1
MQ_FAB_1_PRX | PESTO | PESTO_BLC | POT | NON_BIO,1,1.0,0,19984.900000000005,21798.9
JARDIN_BIO | SCE_CLAS | CHAMPIGNON_A_LA_CREME_FRAICHE | POT | BIO,1,1.0,0,19617.2,13639.1
CASERTA | LEGUMES | TOMATE_CUI | POT | NON_BIO,1,1.0,0,19251.1,18879.2
PANZANI | LEGUMES | KETCHUP | TUB | NON_BIO,1,1.0,0,19059.0,80900.8
CIRIO | LEGUMES | OLIV_CAPRE | POT | NON_BIO,1,1.0,0,18821.7,29697.30000000001
RIVOIRE_&_CARRET | LEGUMES | POIV_AUBER | POT | NON_BIO,1,1.0,0,18782.7,41894.5
SUZY_WAN | SCE_CLAS | POULET_FACON_THAI | POT | NON_BIO,1,1.0,0,18718.7,30189.200000000004
FLORELLI | LEGUMES | PUTTANESCA | POT | NON_BIO,1,1.0,0,18596.6,0.0
PANZANI | PESTO | PESTO_TOM_SECHE | COUPELLE | NON_BIO,1,1.0,0,18487.6,0.0
AUT_MQ | SCE_CLAS | EPICEE_STEAK_AMERICAIN | POT | NON_BIO,1,1.0,0,18156.1,12321.799999999996
MUTTI | LEGUMES | VERDURE | POT | NON_BIO,1,1.0,0,18052.8,0.0
LUCIEN_GEORGELIN | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,3,3.0,0,17849.300000000003,36153.6
AUT_MQ | SCE_CLAS | ROSE | POT | NON_BIO,1,1.0,0,17834.7,42852.60000000001
AUT_MQ | SCE_CLAS | HARISSA_&_PIMENTS | FLA_PLAS | NON_BIO,1,1.0,0,17809.899999999998,20780.5
JARDIN_BIO | BIO | 5_LEGUMES | DOY_PAC | BIO,1,1.0,0,17050.4,27044.3
AUT_MQ | SCE_CLAS | TRUFFE_D'ETE | POT | NON_BIO,1,1.0,0,16682.4,9541.2
LOUIS_MARTIN | LEGUMES | TOMATE_CUI | POT | NON_BIO,1,1.0,0,16337.3,14754.500000000002
AUT_MQ | SCE_CLAS | TERIYAKI_A_L'AIL_CONFIT | POT | NON_BIO,1,1.0,0,15868.2,40061.7
RIVOIRE_&_CARRET | LEGUMES | PROVENCALE | POT | NON_BIO,1,1.0,0,15342.600000000002,23627.0
AUT_MQ | LEGUMES | AIL_&_HERBES_DE_PROVENCE | POT | NON_BIO,1,1.0,0,15225.0,18778.5
AUT_MQ | PESTO | PEST_ARTIC | POT | NON_BIO,1,1.0,0,15191.0,8008.1
AUT_MQ | SCE_POISSON | CAPRE_OLIV | POT | NON_BIO,1,1.0,0,15162.9,8414.799999999997
AUT_MQ | SCE_CLAS | PISTOU_BASILIC | POT | NON_BIO,1,1.0,0,15105.499999999998,21052.1
AUT_MQ | SCE_CLAS | CHILLI_SUCREE | FLA_PLAS | NON_BIO,1,1.0,0,15058.0,0.0
AUT_MQ | LEGUMES | SALSA_ARRIERA | POT | NON_BIO,1,1.0,0,15025.500000000002,13880.6
AUT_MQ | SCE_CLAS | CURRY_JAUNE_THAI | AUT_EMB | NON_BIO,1,1.0,0,14902.2,11908.000000000002
BARILLA | PESTO | PESTO_CALABRESE | POT | NON_BIO,1,1.0,0,14701.7,4284.1
AUT_MQ | BIO | AUBER_POIV | POT | BIO,1,1.0,0,14655.7,12196.8
AUT_MQ | SCE_CLAS | PESTO_CALABRESE | POT | NON_BIO,2,2.0,0,14399.2,13121.3
CASERTA | LEGUMES | SIMPLISSIM | POT | NON_BIO,1,1.0,0,14399.1,12298.100000000002
SACLA | PESTO | PESTO_BASILIC_&_TOFU_&_CHANVRE | POT | BIO,1,1.0,0,14376.1,10213.2
MQ_FAB_1_PRX | LEGUMES | BASILIC | POT | NON_BIO,1,1.0,0,14207.1,0.0
AUT_MQ | BIO | RICOTTA_&_BASILIC | POT | BIO,1,1.0,0,14063.1,11973.3
AUT_MQ | LEGUMES | PIQUILLOS | POT | NON_BIO,1,1.0,0,14010.299999999996,13459.3
AUT_MQ | LEGUMES | TOMATES_CERISE_CILIEGINE_AU_BA | POT | NON_BIO,1,1.0,0,13880.5,11223.700000000004
AUT_MQ | SCE_CLAS | COCO_CURRY | POT | NON_BIO,1,1.0,0,13561.6,6367.6
AUT_MQ | BIO | GENOVESE_BIO | POT | BIO,2,2.0,0,13427.499999999996,4290.0999999999985
KNORR | LEGUMES | LEGUME | BTE_FER | NON_BIO,1,0.0,1,13390.3,14355.7
AUT_MQ | LEGUMES | TOMATES_BASILIC | POT | NON_BIO,1,1.0,0,13121.9,8053.5
ITALIANS_DO_IT_BETTER | BIO | CEPE | POT | BIO,1,1.0,0,13117.9,0.0
AUT_MQ | LEGUMES | BRUSCHETTA | POT | NON_BIO,5,3.0,2,12947.4,35708.1
AUT_MQ | LEGUMES | AIL | POT | NON_BIO,1,0.0,1,12851.2,10218.500000000002
AUT_MQ | SCE_CLAS | MORILLES_A_LA_CREME | POT | NON_BIO,1,1.0,0,12748.1,20519.500000000004
AUT_MQ | BIO | AUBERGINES_&_PARMESAN_&_BASILI | POT | BIO,1,1.0,0,12478.2,0.0
AUT_MQ | SCE_CLAS | CREME_AUX_POIREAUX | DOSE | NON_BIO,1,1.0,0,12438.2,6684.0999999999985
AUT_MQ | PESTO | PISTOU_NICOIS | POT | NON_BIO,1,1.0,0,12316.299999999996,17444.000000000004
ZAPETTI_BUITONI | LEGUMES | NAPOLITAIN | POT | NON_BIO,7,4.0,3,12124.800000000001,88871.90000000001
JARDIN_BIO | SCE_CLAS | POIVRE_A_LA_CREME_FRAICHE | POT | BIO,1,1.0,0,11978.7,8450.6
AUT_MQ | LEGUMES | TOM_SECHE | POT | NON_BIO,3,1.0,2,11811.8,15055.900000000003
ITALIANS_DO_IT_BETTER | BIO | OLIVE | POT | BIO,1,1.0,0,11771.1,0.0
FLORELLI | SCE_CLAS | TARTUFATA | POT | NON_BIO,1,1.0,0,11736.9,0.0
AUT_MQ | BOLO_CLASSIQUE | BOLOG_BOEUF | POT | NON_BIO,2,1.0,1,11684.6,0.0
FLORELLI | SCE_CLAS | OLIVES_NOIRES_&_TOMATES_SECHEE | POT | NON_BIO,1,1.0,0,11670.1,0.0
AUT_MQ | SCE_CLAS | CURRY_THAI_COCO | POT | BIO,2,2.0,0,11626.6,1532.5
FLORELLI | SCE_CLAS | OLIVES_VERTES_&_PISTACHES | POT | NON_BIO,1,1.0,0,11509.4,0.0
AUT_MQ | CREME | CARBONARA | POT | NON_BIO,5,4.0,1,11494.099999999999,17313.8
LE_CABANON | LEGUMES | CHEVRE | POT | NON_BIO,1,1.0,0,11477.2,15309.4
ZAPETTI_BUITONI | LEGUMES | PROVENCALE_AUX_LEGUMES_DU_SOLE | POT | NON_BIO,4,1.0,3,11466.399999999998,88700.3
AUT_MQ | BIO | AIL_&_PIMENT | POT | BIO,1,1.0,0,11256.4,0.0
LOUIS_MARTIN | LEGUMES | BASILIC | POT | NON_BIO,3,2.0,1,10885.3,11815.5
AUT_MQ | BIO | PESTO_TOM | POT | BIO,1,1.0,0,10815.1,9050.5
